 ,XM,YM
805,762.223,411.840
806,351.322,413.764
807,957.394,418.621
808,598.037,420.378
809,1038.872,419.050
810,460.451,427.024
811,856.086,427.470
812,1088.650,427.483
813,389.892,428.212
814,484.248,438.603
815,643.850,434.000
816,680.348,434.614
817,755.500,434.500
818,791.979,434.046
819,331.571,438.942
820,627.394,438.160
821,1017.521,438.955
822,936.590,438.631
823,414.756,441.267
824,608.364,445.114
825,1103.758,443.418
826,577.804,446.457
827,784.722,450.190
828,653.456,451.186
829,923.223,451.291
830,396.500,449.822
831,472.153,451.008
832,435.126,452.409
833,1013.547,455.895
834,698.126,456.927
835,737.500,457.000
836,811.058,458.217
837,847.097,461.403
838,389.107,460.444
839,829.019,459.731
840,572.128,466.604
841,1118.365,464.222
842,906.275,471.804
843,695.606,472.732
844,740.193,472.743
845,312.785,473.376
846,453.409,472.000
847,860.500,473.000
848,1030.500,474.000
849,681.309,476.173
850,754.353,476.142
851,486.624,479.054
852,887.136,480.682
853,378.159,483.858
854,524.000,485.000
855,556.341,484.181
856,1122.561,486.723
857,336.500,487.185
858,538.051,486.481
859,1041.872,493.500
860,365.032,489.250
861,674.238,491.805
862,761.599,491.798
863,1090.338,498.418
864,905.456,493.676
865,483.898,496.606
866,921.636,499.148
867,293.138,502.046
868,497.107,505.995
869,355.471,507.525
870,1060.866,509.112
871,1136.991,507.026
872,374.803,510.273
873,932.871,513.452
874,664.431,515.729
875,771.359,515.781
876,488.206,522.815
877,392.836,522.866
878,1024.688,527.099
879,1068.380,531.172
880,1143.103,532.404
881,938.559,531.529
882,307.023,534.957
883,668.629,534.477
884,767.088,534.360
885,280.023,553.142
886,995.422,541.383
887,413.948,541.481
888,473.191,543.704
889,684.000,545.000
890,751.721,545.031
891,345.976,548.451
892,533.380,549.167
893,608.349,549.373
894,827.188,549.500
895,902.132,549.132
896,1145.085,561.990
897,324.795,554.711
898,590.737,550.399
899,845.029,550.514
900,555.567,551.441
901,572.427,551.264
902,863.221,551.284
903,880.113,551.307
904,362.420,553.668
905,1077.744,552.556
906,376.379,560.314
907,973.963,556.785
908,434.768,556.448
909,624.703,559.635
910,810.979,559.569
911,457.807,559.136
912,699.906,560.385
913,735.976,560.345
914,684.331,564.265
915,751.559,564.174
916,398.639,565.213
917,515.005,565.374
918,920.734,565.374
919,531.167,566.694
920,904.593,566.852
921,1115.106,570.609
922,1081.934,575.009
923,414.430,572.610
924,961.463,573.067
925,717.956,573.205
926,1096.000,575.500
927,1168.715,576.117
928,639.185,576.743
929,796.573,576.736
930,315.956,582.774
931,452.390,582.173
932,369.037,580.963
933,266.875,584.500
934,507.796,585.261
935,927.849,585.247
936,297.379,585.606
937,687.115,586.047
938,748.457,586.030
939,969.905,585.905
940,1051.613,586.834
941,404.461,592.621
942,355.024,597.875
943,332.981,595.453
944,1012.106,599.661
